iter	Passed	Remaining
0	173	173513
1	178	88990
2	183	60927
3	187	46600
4	194	38646
5	198	32848
6	202	28732
7	209	26011
8	213	23557
9	216	21393
10	220	19810
11	222	18353
12	225	17089
13	227	16009
14	229	15067
15	231	14244
16	235	13624
17	237	12981
18	239	12383
19	241	11817
20	242	11310
21	243	10844
22	245	10415
23	246	10021
24	249	9713
25	250	9377
26	251	9065
27	252	8775
28	254	8505
29	255	8257
30	256	8023
31	257	7802
32	259	7596
33	261	7434
34	263	7252
35	264	7078
36	265	6912
37	266	6754
38	268	6605
39	269	6464
40	270	6328
41	271	6200
42	273	6077
43	275	5988
44	276	5876
45	278	5767
46	279	5663
47	280	5567
48	281	5473
49	283	5381
50	284	5293
51	285	5207
52	286	5124
53	288	5050
54	290	4995
55	292	4922
56	293	4851
57	294	4785
58	295	4720
59	297	4655
60	298	4592
61	299	4532
62	300	4473
63	301	4416
64	304	4385
65	306	4332
66	307	4280
67	309	4235
68	310	4188
69	311	4140
70	312	4094
71	314	4050
72	315	4007
73	316	3964
74	319	3939
75	320	3899
76	322	3863
77	323	3824
78	324	3786
79	326	3750
80	327	3715
81	328	3679
82	329	3639
83	330	3605
84	333	3588
85	335	3563
86	336	3532
87	337	3501
88	339	3470
89	340	3440
90	341	3410
91	342	3382
92	343	3353
93	345	3326
94	346	3301
95	348	3282
96	349	3256
97	351	3231
98	352	3206
99	353	3181
100	354	3157
101	355	3133
102	357	3110
103	358	3087
104	359	3065
105	362	3055
106	363	3036
107	365	3015
108	366	2996
109	368	2977
110	369	2959
111	371	2944
112	373	2928
113	374	2911
114	378	2910
115	379	2891
116	380	2871
117	381	2853
118	382	2835
119	384	2817
120	385	2799
121	386	2780
122	387	2763
123	388	2746
124	390	2731
125	391	2716
126	392	2700
127	394	2685
128	395	2669
129	396	2654
130	397	2638
131	399	2623
132	400	2608
133	401	2594
134	402	2580
135	405	2575
136	406	2562
137	408	2554
138	410	2541
139	411	2528
140	413	2517
141	414	2501
142	415	2489
143	417	2479
144	421	2483
145	422	2471
146	424	2465
147	426	2455
148	428	2444
149	430	2437
150	434	2440
151	437	2441
152	439	2431
153	440	2420
154	442	2409
155	443	2399
156	451	2423
157	453	2414
158	457	2419
159	459	2412
160	460	2402
161	466	2411
162	468	2405
163	470	2399
164	472	2390
165	474	2381
166	475	2372
167	476	2361
168	480	2360
169	482	2355
170	483	2346
171	485	2336
172	486	2326
173	487	2316
174	489	2306
175	492	2304
176	497	2310
177	499	2305
178	500	2296
179	501	2286
180	503	2276
181	507	2279
182	511	2285
183	514	2280
184	516	2276
185	518	2267
186	519	2260
187	521	2251
188	522	2241
189	527	2248
190	528	2239
191	530	2231
192	531	2222
193	532	2213
194	534	2204
195	535	2195
196	536	2186
197	537	2177
198	540	2175
199	542	2169
200	543	2160
201	544	2152
202	546	2143
203	547	2137
204	549	2129
205	550	2122
206	551	2114
207	554	2112
208	557	2108
209	558	2101
210	559	2093
211	561	2086
212	562	2078
213	564	2072
214	565	2064
215	566	2056
216	571	2060
217	572	2053
218	573	2045
219	574	2038
220	576	2031
221	577	2023
222	578	2016
223	579	2009
224	581	2001
225	582	1994
226	584	1991
227	586	1985
228	588	1979
229	589	1973
230	590	1966
231	592	1960
232	593	1953
233	594	1946
234	595	1939
235	598	1938
236	600	1933
237	602	1927
238	603	1920
239	604	1914
240	606	1909
241	607	1902
242	608	1896
243	612	1896
244	613	1890
245	614	1884
246	616	1879
247	617	1873
248	618	1866
249	620	1860
250	621	1854
251	622	1847
252	623	1841
253	626	1839
254	627	1833
255	628	1826
256	629	1820
257	631	1815
258	632	1809
259	633	1803
260	634	1797
261	635	1791
262	637	1785
263	640	1784
264	641	1779
265	642	1773
266	643	1767
267	645	1761
268	646	1756
269	647	1750
270	648	1745
271	649	1739
272	651	1733
273	652	1729
274	655	1727
275	656	1722
276	657	1717
277	659	1711
278	660	1706
279	661	1702
280	663	1697
281	664	1691
282	665	1686
283	666	1680
284	669	1680
285	670	1675
286	672	1670
287	673	1665
288	674	1660
289	676	1655
290	677	1650
291	678	1645
292	679	1640
293	681	1635
294	684	1636
295	686	1631
296	687	1626
297	688	1621
298	689	1616
299	690	1611
300	692	1607
301	693	1602
302	694	1597
303	695	1593
304	698	1592
305	700	1588
306	701	1583
307	702	1578
308	703	1573
309	705	1569
310	706	1564
311	707	1559
312	708	1555
313	710	1551
314	712	1549
315	713	1544
316	714	1540
317	716	1535
318	717	1531
319	718	1526
320	719	1522
321	720	1518
322	722	1514
323	723	1509
324	724	1505
325	727	1503
326	729	1500
327	730	1496
328	731	1492
329	732	1487
330	734	1483
331	735	1479
332	737	1476
333	739	1473
334	742	1474
335	744	1471
336	745	1467
337	747	1463
338	748	1459
339	749	1455
340	751	1451
341	752	1447
342	753	1443
343	754	1439
344	757	1438
345	758	1434
346	759	1430
347	761	1426
348	762	1422
349	763	1418
350	765	1414
351	766	1411
352	767	1407
353	769	1403
354	772	1403
355	773	1399
356	775	1395
357	776	1392
358	777	1388
359	778	1384
360	780	1380
361	781	1377
362	782	1373
363	783	1369
364	787	1369
365	788	1365
366	789	1361
367	790	1357
368	791	1354
369	793	1351
370	794	1347
371	796	1343
372	797	1340
373	798	1336
374	801	1335
375	802	1331
376	803	1327
377	804	1324
378	805	1320
379	807	1317
380	808	1313
381	809	1310
382	811	1306
383	812	1303
384	814	1301
385	816	1299
386	818	1295
387	819	1292
388	821	1290
389	822	1286
390	824	1283
391	827	1284
392	833	1287
393	834	1283
394	836	1280
395	837	1277
396	838	1274
397	840	1270
398	841	1267
399	842	1264
400	847	1265
401	848	1262
402	850	1259
403	851	1256
404	852	1253
405	854	1249
406	855	1246
407	856	1242
408	857	1239
409	862	1240
410	865	1240
411	867	1237
412	869	1235
413	873	1236
414	879	1239
415	880	1236
416	881	1233
417	883	1230
418	885	1227
419	886	1224
420	888	1221
421	891	1221
422	894	1220
423	896	1217
424	897	1214
425	899	1211
426	900	1208
427	903	1207
428	907	1208
429	910	1206
430	911	1203
431	912	1200
432	914	1197
433	915	1194
434	917	1191
435	918	1187
436	924	1191
437	926	1188
438	927	1185
439	929	1182
440	931	1180
441	932	1177
442	948	1192
443	953	1194
444	955	1191
445	958	1190
446	960	1188
447	962	1186
448	969	1189
449	971	1187
450	973	1184
451	975	1182
452	977	1180
453	979	1177
454	981	1175
455	982	1172
456	984	1170
457	987	1168
458	989	1166
459	991	1164
460	994	1162
461	998	1162
462	999	1159
463	1001	1156
464	1002	1153
465	1003	1150
466	1005	1147
467	1006	1144
468	1008	1141
469	1011	1140
470	1012	1137
471	1014	1135
472	1016	1132
473	1018	1130
474	1020	1127
475	1021	1124
476	1023	1122
477	1027	1121
478	1030	1121
479	1032	1118
480	1034	1116
481	1037	1114
482	1039	1112
483	1043	1111
484	1044	1109
485	1046	1107
486	1049	1105
487	1052	1104
488	1056	1104
489	1058	1102
490	1060	1099
491	1063	1097
492	1065	1096
493	1067	1093
494	1069	1090
495	1072	1089
496	1073	1086
497	1075	1083
498	1076	1080
499	1077	1077
500	1080	1076
501	1082	1074
502	1084	1071
503	1088	1071
504	1089	1068
505	1092	1066
506	1094	1064
507	1097	1063
508	1100	1061
509	1105	1062
510	1108	1060
511	1110	1058
512	1114	1057
513	1121	1059
514	1126	1060
515	1128	1058
516	1135	1060
517	1137	1058
518	1140	1057
519	1144	1056
520	1146	1054
521	1151	1054
522	1154	1052
523	1157	1051
524	1159	1048
525	1160	1045
526	1162	1043
527	1167	1043
528	1169	1041
529	1171	1038
530	1173	1036
531	1175	1033
532	1176	1031
533	1182	1031
534	1184	1029
535	1185	1026
536	1187	1023
537	1188	1020
538	1189	1017
539	1191	1014
540	1195	1014
541	1197	1011
542	1199	1009
543	1201	1006
544	1202	1004
545	1204	1001
546	1205	998
547	1210	998
548	1212	996
549	1214	993
550	1216	991
551	1220	990
552	1222	988
553	1227	987
554	1229	985
555	1230	982
556	1232	979
557	1233	977
558	1235	974
559	1236	971
560	1238	968
561	1242	968
562	1243	965
563	1245	962
564	1246	959
565	1248	957
566	1249	954
567	1251	951
568	1253	949
569	1256	948
570	1258	945
571	1260	942
572	1261	940
573	1263	937
574	1264	934
575	1265	931
576	1267	929
577	1271	928
578	1274	926
579	1276	924
580	1278	922
581	1280	919
582	1282	917
583	1283	914
584	1285	911
585	1287	909
586	1289	906
587	1290	904
588	1292	901
589	1293	898
590	1295	896
591	1296	893
592	1298	891
593	1299	888
594	1301	885
595	1302	882
596	1303	880
597	1305	877
598	1306	874
599	1307	871
600	1308	869
601	1319	872
602	1323	871
603	1324	868
604	1328	867
605	1329	864
606	1331	861
607	1332	859
608	1334	856
609	1336	854
610	1337	851
611	1338	848
612	1340	846
613	1342	844
614	1344	841
615	1345	838
616	1346	835
617	1347	833
618	1349	830
619	1350	827
